index_code,index_name,index_order,fund_code,fund_name
000016,上证50,1,510050,华夏上证50ETF
000016,上证50,1,510100,易方达上证50ETF
000016,上证50,1,510190,华安上证50ETF
000016,上证50,1,510600,申万菱信上证50ETF
000016,上证50,1,510680,万家上证50ETF
000016,上证50,1,510710,博时上证50ETF
000016,上证50,1,510800,建信上证50ETF
000016,上证50,1,510850,工银上证50ETF
000016,上证50,1,510950,广发上证50ETF
000016,上证50,1,530000,天弘上证50ETF
000016,上证50,1,530050,东财上证50ETF
000300,沪深300,2,159300,富国沪深300ETF
000300,沪深300,2,159330,东财沪深300ETF
000300,沪深300,2,159393,万家沪深300ETF
000300,沪深300,2,159673,鹏华沪深300ETF
000300,沪深300,2,159919,嘉实沪深300ETF
000300,沪深300,2,159925,南方沪深300ETF
000300,沪深300,2,510300,华泰柏瑞沪深300ETF
000300,沪深300,2,510310,易方达沪深300ETF
000300,沪深300,2,510320,中金沪深300ETF
000300,沪深300,2,510330,华夏沪深300ETF
000300,沪深300,2,510350,工银沪深300ETF
000300,沪深300,2,510360,广发沪深300ETF
000300,沪深300,2,510370,兴业沪深300ETF
000300,沪深300,2,510380,国寿沪深300ETF
000300,沪深300,2,510390,平安沪深300ETF
000300,沪深300,2,515130,博时沪深300ETF
000300,沪深300,2,515310,汇添富沪深300ETF
000300,沪深300,2,515330,天弘沪深300ETF
000300,沪深300,2,515350,民生加银沪深300ETF
000300,沪深300,2,515360,方正富邦沪深300ETF
000300,沪深300,2,515380,泰康沪深300ETF
000300,沪深300,2,515390,华安沪深300ETF
000300,沪深300,2,515660,国联安沪深300ETF
000300,沪深300,2,561930,招商沪深300ETF
000300,沪深300,2,563520,永赢沪深300ETF
000905,中证500,3,159337,东财中证500ETF
000905,中证500,3,159500,富国中证500ETF
000905,中证500,3,159820,天弘中证500ETF
000905,中证500,3,159922,嘉实中证500ETF
000905,中证500,3,159935,景顺长城中证500ETF
000905,中证500,3,159968,博时中证500ETF
000905,中证500,3,159982,鹏华中证500ETF
000905,中证500,3,510500,南方中证500ETF
000905,中证500,3,510510,广发中证500ETF
000905,中证500,3,510530,工银中证500ETF
000905,中证500,3,510550,方正富邦中证500ETF
000905,中证500,3,510560,国寿中证500ETF
000905,中证500,3,510570,兴业中证500ETF
000905,中证500,3,510580,易方达中证500ETF
000905,中证500,3,510590,平安中证500ETF
000905,中证500,3,512500,华夏中证500ETF
000905,中证500,3,512510,华泰柏瑞中证500ETF
000905,中证500,3,515190,中银证券中证500ETF
000905,中证500,3,515530,泰康中证500ETF
000905,中证500,3,515550,国联中证500ETF
000905,中证500,3,561350,国泰中证500ETF
000905,中证500,3,563750,汇添富中证500ETF
000852,中证1000,4,159629,富国中证1000ETF
000852,中证1000,4,159633,易方达中证1000ETF
000852,中证1000,4,159845,华夏中证1000ETF
000852,中证1000,4,512100,南方中证1000ETF
000852,中证1000,4,516300,华泰柏瑞中证1000ETF
000852,中证1000,4,560010,广发中证1000ETF
000852,中证1000,4,560110,汇添富中证1000ETF
932000,中证2000,5,159531,南方中证2000ETF
932000,中证2000,5,159532,易方达中证2000ETF
932000,中证2000,5,159533,博时中证2000ETF
932000,中证2000,5,159535,嘉实中证2000ETF
932000,中证2000,5,159536,汇添富中证2000ETF
932000,中证2000,5,560220,广发中证2000ETF
932000,中证2000,5,561370,国泰中证2000ETF
932000,中证2000,5,562660,华夏中证2000ETF
932000,中证2000,5,563200,富国中证2000ETF
932000,中证2000,5,563300,华泰柏瑞中证2000ETF
H30269,红利低波,6,159525,富国红利低波ETF
H30269,红利低波,6,159547,华夏红利低波ETF
H30269,红利低波,6,159549,天弘红利低波ETF
H30269,红利低波,6,512890,华泰柏瑞红利低波ETF
H30269,红利低波,6,560150,泰康红利低波ETF
H30269,红利低波,6,560730,国泰海通红利低波ETF
H30269,红利低波,6,563020,易方达红利低波ETF
H30269,红利低波,6,563690,永赢红利低波ETF
000688,科创50,7,588000,华夏科创50ETF
000688,科创50,7,588040,鹏华科创50ETF
000688,科创50,7,588050,工银科创50ETF
000688,科创50,7,588060,广发科创50ETF
000688,科创50,7,588080,易方达科创50ETF
000688,科创50,7,588090,华泰柏瑞科创50ETF
000688,科创50,7,588150,南方科创50ETF
000688,科创50,7,588180,国联安科创50ETF
000688,科创50,7,588280,华安科创50ETF
000688,科创50,7,588720,中银科创50ETF
000688,科创50,7,588840,万家科创50ETF
000688,科创50,7,588870,汇添富科创50ETF
000688,科创50,7,588940,富国科创50ETF
000688,科创50,7,588950,景顺长城科创50ETF
000688,科创50,7,589150,平安科创50ETF
000688,科创50,7,589360,国泰科创50ETF
000688,科创50,7,589850,东财科创50ETF
